0,-3.34E-07,
1.98E-07,-3.32E-07,
3.96E-07,-3.31E-07,
5.94E-07,-3.30E-07,
7.92E-07,-3.28E-07,
9.90E-07,-3.28E-07,
1.19E-06,-3.28E-07,
1.39E-06,-3.30E-07,
1.58E-06,-3.29E-07,
1.78E-06,-3.31E-07,
1.98E-06,-3.30E-07,
2.18E-06,-3.34E-07,
2.38E-06,-3.49E-07,
2.57E-06,-3.61E-07,
2.77E-06,-3.66E-07,
2.97E-06,-3.66E-07,
3.17E-06,-3.63E-07,
3.37E-06,-3.64E-07,
3.57E-06,-3.66E-07,
3.76E-06,-3.64E-07,
3.96E-06,-3.63E-07,
4.16E-06,-3.63E-07,
4.36E-06,-3.66E-07,
4.56E-06,-3.66E-07,
-,-,
